"x.dashed","y.dashed","x.solid","y.solid"
774,0.884,774,0.8215
775,0.8872,775,0.8265
776,0.8786,776,0.8295
777,0.8901,777,0.823
778,0.8872,778,0.8225
779,0.8902,779,0.8288
780,0.8834,780,0.8297
781,0.8863,781,0.8293
782,0.8908,782,0.823
783,0.8894,783,0.8292
784,0.8921,784,0.8259
785,0.8901,785,0.8265
786,0.8848,786,0.8371
787,0.8988,787,0.8338
788,0.8876,788,0.8384
789,0.8904,789,0.836
790,0.8937,790,0.8363
791,0.8941,791,0.8411
792,0.8985,792,0.8425
793,0.8983,793,0.8363
794,0.8975,794,0.8401
795,0.8999,795,0.8461
796,0.8992,796,0.8472
797,0.9035,797,0.8455
798,0.8981,798,0.8416
799,0.8993,799,0.838
800,0.9026,800,0.8446
801,0.8992,801,0.843
802,0.9077,802,0.8492
803,0.9078,803,0.852
804,0.9023,804,0.8504
805,0.9052,805,0.8461
806,0.9064,806,0.8507
807,0.9055,807,0.8516
808,0.9064,808,0.8531
809,0.9083,809,0.849
810,0.9092,810,0.8561
811,0.912,811,0.8514
812,0.9111,812,0.8539
813,0.911,813,0.8586
814,0.912,814,0.8529
815,0.9149,815,0.8606
816,0.9097,816,0.8581
817,0.9135,817,0.8531
818,0.922,818,0.8574
819,0.9164,819,0.864
820,0.9176,820,0.8584
821,0.9164,821,0.8648
822,0.9192,822,0.8627
823,0.9189,823,0.8625
824,0.9195,824,0.8612
825,0.9217,825,0.8641
826,0.9211,826,0.8663
827,0.9178,827,0.8569
828,0.9195,828,0.8745
829,0.9283,829,0.8679
830,0.9241,830,0.8649
831,0.9228,831,0.8622
832,0.9279,832,0.8718
833,0.929,833,0.8637
834,0.9218,834,0.8709
835,0.9254,835,0.8744
836,0.9278,836,0.8721
837,0.9274,837,0.8658
838,0.9244,838,0.8719
839,0.9313,839,0.8699
840,0.927,840,0.8731
841,0.9286,841,0.8705
842,0.9332,842,0.8719
843,0.9315,843,0.8709
844,0.933,844,0.8765
845,0.9288,845,0.8751
846,0.9301,846,0.876
847,0.9344,847,0.8771
848,0.9303,848,0.8822
849,0.9352,849,0.8725
850,0.9312,850,0.8798
851,0.9297,851,0.8761
852,0.9309,852,0.8762
853,0.938,853,0.8796
854,0.9343,854,0.873
855,0.9321,855,0.8782
856,0.939,856,0.877
857,0.938,857,0.8821
858,0.9388,858,0.8853
859,0.9373,859,0.8821
860,0.9413,860,0.8803
861,0.9412,861,0.8803
862,0.9454,862,0.8843
863,0.9427,863,0.8869
864,0.9431,864,0.8885
865,0.9408,865,0.878
866,0.9426,866,0.8865
867,0.9449,867,0.8826
868,0.9483,868,0.8863
869,0.9477,869,0.8861
870,0.9447,870,0.8827
871,0.9487,871,0.8809
872,0.9492,872,0.8864
873,0.9482,873,0.8919
874,0.949,874,0.8815
875,0.9477,875,0.8829
876,0.945,876,0.8924
877,0.949,877,0.8856
878,0.9455,878,0.8877
879,0.9486,879,0.8933
880,0.9481,880,0.8885
881,0.9478,881,0.8951
882,0.9466,882,0.8948
883,0.9486,883,0.884
884,0.9494,884,0.8871
885,0.9466,885,0.8902
886,0.9509,886,0.8984
887,0.9545,887,0.8931
888,0.9546,888,0.8929
889,0.954,889,0.8913
890,0.952,890,0.8893
891,0.9536,891,0.8938
892,0.9564,892,0.8952
893,0.95,893,0.8905
894,0.9558,894,0.8962
895,0.9559,895,0.8926
896,0.9593,896,0.8927
897,0.9604,897,0.8898
898,0.9587,898,0.892
899,0.9599,899,0.892
900,0.9586,900,0.8974
901,0.9574,901,0.8908
902,0.9552,902,0.8968
903,0.959,903,0.9023
904,0.9611,904,0.9026
905,0.9655,905,0.8974
906,0.9593,906,0.8973
907,0.9606,907,0.8975
908,0.9591,908,0.9015
909,0.9645,909,0.8965
910,0.9623,910,0.9009
911,0.9629,911,0.9036
912,0.962,912,0.8919
913,0.9616,913,0.8959
914,0.9647,914,0.897
915,0.9619,915,0.9011
916,0.9647,916,0.896
917,0.9652,917,0.9047
918,0.9662,918,0.9016
919,0.9631,919,0.9062
920,0.9669,920,0.8938
921,0.9647,921,0.8986
922,0.9651,922,0.8976
923,0.9663,923,0.9034
924,0.967,924,0.8971
925,0.9688,925,0.9008
926,0.9683,926,0.9052
927,0.9704,927,0.9064
928,0.9695,928,0.9022
929,0.9681,929,0.9014
930,0.965,930,0.9057
931,0.9675,931,0.9046
932,0.9676,932,0.9012
933,0.9701,933,0.9048
934,0.9704,934,0.9074
935,0.9663,935,0.9054
936,0.9696,936,0.9023
937,0.9704,937,0.9009
938,0.9722,938,0.9074
939,0.9703,939,0.9012
940,0.9724,940,0.8978
941,0.9718,941,0.8999
942,0.9725,942,0.9026
943,0.9708,943,0.9024
944,0.9715,944,0.906
945,0.9721,945,0.9036
946,0.9711,946,0.9022
947,0.9738,947,0.9038
948,0.9736,948,0.9075
949,0.9756,949,0.9066
